expr,time
mongoDB_group_by_avg(),2590351216
mongoDB_group_by_avg(),2526848269
mongoDB_group_by_avg(),2511721451
mongoDB_group_by_avg(),2465119291
mongoDB_count_groupby_http(),1579181878
mongoDB_count_groupby_host(),1925452409
mongoDB_range(),16006132275
mongoDB_min_max(),2003170851
mongoDB_range(),11017884524
mongoDB_range(),11556125379
mongoDB_range(),11373453073
mongoDB_count_groupby_http(),1603591087
mongoDB_min_max(),1704620524
mongoDB_range(),11185409580
mongoDB_group_by_avg(),2641237465
mongoDB_count_groupby_http(),1607260416
mongoDB_range(),11324341094
mongoDB_min_max(),1644361142
mongoDB_count_groupby_http(),1568546171
mongoDB_count_groupby_host(),2022530377
mongoDB_count_groupby_http(),1577972188
mongoDB_range(),11245586936
mongoDB_min_max(),1653176004
mongoDB_range(),11330075848
mongoDB_count_groupby_http(),1564438157
mongoDB_min_max(),1711892479
mongoDB_count_groupby_host(),2175827620
mongoDB_count_groupby_http(),1661020351
mongoDB_count_groupby_host(),2212303370
mongoDB_count_groupby_host(),2229613395
mongoDB_count_groupby_host(),2041621584
mongoDB_min_max(),1615678960
mongoDB_min_max(),1593028996
mongoDB_count_groupby_host(),1962016797
mongoDB_count_groupby_host(),1957333685
mongoDB_min_max(),1593927099
mongoDB_count_groupby_http(),1463914711
mongoDB_group_by_avg(),2474834659
mongoDB_count_groupby_host(),1951266913
mongoDB_range(),11088736645
mongoDB_min_max(),1610327004
mongoDB_group_by_avg(),2488321517
mongoDB_group_by_avg(),2469540995
mongoDB_count_groupby_http(),1454695416
mongoDB_group_by_avg(),2476562658
mongoDB_group_by_avg(),2471433650
mongoDB_count_groupby_http(),1452494179
mongoDB_count_groupby_host(),1953718141
mongoDB_range(),10872182239
mongoDB_min_max(),1559098822
